what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462907768367
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907773548
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907788794
executed,command,org.eclipse.debug.ui,3.10.1.v20140822-1408,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1462907788810
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907788814
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907789026
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907789289
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907808539
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462907808574
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1462907811332
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907812041
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907812832
started,bundle,org.eclipse.ui.externaltools,3.2.300.v20140327-1949,"org.eclipse.ui.externaltools",1462907814404
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907814464
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907815699
executed,command,org.eclipse.ui.externaltools,3.2.300.v20140327-1949,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1462907815706
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1462907819916
executed,command,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1462907827481
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907827893
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1462907845518
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1462907846916
